ID	age	sex	n_babies	observer	year	pop_size	weight
25	0	m	2	2	1980	132	5.927303610634325
94	0	f	2	16	1980	132	5.342227343663225
157	0	m	1	16	1980	132	NA
311	0	f	1	13	1980	132	5.154527822359058
326	0	m	0	7	1980	132	4.267154514942473
406	0	m	0	20	1980	132	3.5609661139046356
474	0	m	2	7	1980	132	4.087559747619844
521	0	f	1	14	1980	132	3.250203447417783
549	0	f	2	16	1980	132	4.810647410608298
575	0	m	0	15	1980	132	5.388340425467304
588	0	f	2	20	1980	132	3.8774818036451353
589	0	f	2	11	1980	132	3.8540171870444064
628	0	m	0	2	1980	132	NA
720	0	f	2	17	1980	132	4.737946852560359
725	0	m	0	1	1980	132	3.4896813092239762
727	0	f	1	19	1980	132	4.584252102624421
788	0	f	2	20	1980	132	3.6068948720475715
791	0	f	1	18	1980	132	4.667433566442304
802	0	m	2	19	1980	132	3.7868050027057283
817	0	m	2	14	1980	132	5.078548956195749
895	0	f	1	12	1980	132	5.150632273936119
25	1	m	2	7	1981	148	6.211332918191471
58	0	m	1	18	1981	148	NA
60	0	m	1	16	1981	148	4.254120618682958
94	1	f	0	1	1981	148	NA
98	0	m	0	20	1981	148	4.929760319257858
157	1	m	0	17	1981	148	4.691186761704748
212	0	m	0	12	1981	148	4.363534363548043
215	0	m	0	14	1981	148	4.64923523235567
311	1	f	1	5	1981	148	5.401788325974586
323	0	f	0	1	1981	148	4.777556731388418
326	1	m	1	5	1981	148	4.475575259189472
349	0	m	2	15	1981	148	4.332781060546518
357	0	f	0	12	1981	148	2.933660054757564
406	1	m	1	14	1981	148	4.014026249177951
437	0	m	2	6	1981	148	3.9871644831786344
442	0	m	2	10	1981	148	NA
474	1	m	1	19	1981	148	3.7843442150256905
521	1	f	1	14	1981	148	3.9332309404639236
530	0	m	2	11	1981	148	4.547295542623134
549	1	f	1	20	1981	148	5.399121910514927
575	1	m	1	20	1981	148	5.327912797036435
588	1	f	0	18	1981	148	4.1218357221457715
589	1	f	0	14	1981	148	3.9026348891303915
597	0	m	2	6	1981	148	NA
625	0	m	1	2	1981	148	3.907943918519263
628	1	m	2	20	1981	148	5.638212210294803
637	0	f	1	3	1981	148	3.407090004140192
720	1	f	0	12	1981	148	4.6468081179246274
725	1	m	0	5	1981	148	3.7194282168272412
727	1	f	2	15	1981	148	5.0757342131331145
732	0	f	1	13	1981	148	4.69096117549506
747	0	m	1	4	1981	148	4.420424672687881
764	0	f	2	4	1981	148	3.2263791464171248
788	1	f	0	3	1981	148	3.6653502430162055
791	1	f	1	2	1981	148	5.080773944631925
802	1	m	2	3	1981	148	4.908748140440832
817	1	m	1	10	1981	148	NA
821	0	f	2	9	1981	148	3.9310775318984503
833	0	m	0	18	1981	148	4.255401747129228
849	0	m	2	3	1981	148	5.7154505035052114
887	0	m	0	2	1981	148	5.81810737988
895	1	f	2	7	1981	148	5.50626234179779
18	0	f	2	9	1982	159	4.1741692567156345
25	2	m	0	20	1982	159	5.916705318501426
26	0	f	1	13	1982	159	NA
58	1	m	2	3	1982	159	5.047850676230258
60	1	m	2	9	1982	159	4.2087646550068785
78	0	f	0	12	1982	159	5.0626723750041265
94	2	f	1	18	1982	159	6.0038510145336845
98	1	m	0	4	1982	159	5.00360504324436
120	0	m	1	15	1982	159	4.610350580045505
